Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Intermedio,2021-04-28,4511,CBAB,13,5,3827,9195
Intermedio,2021-02-03,1769,BDDC,10,14,0639,2784
Dominical,2021-02-07,9016,AAAC,4,8,6923,5506
Intermedio,2021-02-10,4123,CDCB,16,15,8750,0806
Dominical,2021-02-14,4013,BDBC,19,9,1920,5472
Intermedio,2021-02-17,8989,CBBC,19,13,3961,3694
Dominical,2021-02-21,3918,CCAA,3,10,9331,3318
Intermedio,2021-02-24,1044,DDDD,7,14,9045,0320
Intermedio,2021-01-20,1998,CBBD,14,4,2785,2950
Dominical,2021-01-24,5982,CDDB,13,1,5756,3194
Intermedio,2021-01-27,3520,ADDD,12,9,7804,0263
Dominical,2021-01-31,0686,BCDD,19,7,0483,0673
Intermedio,2020-06-03,2234,ACDB,3,8,2125,3419
Dominical,2020-06-07,2682,DBBC,3,9,1567,7655
Intermedio,2020-06-10,5561,ACBD,14,3,4572,3305
Dominical,2020-06-14,9211,BBAB,1,8,7457,1835
Zodiaco,2020-06-26,4019,BBCA,6,20,0072,0048
Dominical,2020-05-03,0334,ABCA,14,8,7247,9378
Intermedio,2020-05-06,2783,AABB,16,9,2486,3197
Dominical,2020-05-10,2020,CCAC,24,11,0513,1483
Intermedio,2020-05-13,0795,ADCB,10,9,7096,1736
Dominical,2020-05-17,2436,CDAB,3,14,3981,6555
Intermedio,2020-05-20,9298,BBCB,22,12,5409,6289
Dominical,2020-05-24,0866,CCAC,11,10,7986,5987
Intermedio,2020-05-27,7112,DBCD,12,5,3631,0547
Zodiaco,2020-05-29,5028,DDCA,1,5,0039,0039
Dominical,2020-05-31,8056,DDBB,14,4,7356,5163
Intermedio,2020-04-01,2976,CBAA,5,7,4054,2036
Dominical,2020-04-05,8266,DCCA,22,4,3371,6408
Intermedio,2020-04-08,1297,ABBB,18,13,8635,2117
Dominical,2020-04-12,8462,DCCD,13,15,6057,5299
Intermedio,2020-04-15,2663,ABCA,2,10,1510,6306
Extraordinaria,2020-04-19,29579,DCCB,2,7,24297,91863
Intermedio,2020-04-22,4195,BDDD,21,6,4479,2480
Zodiaco,2020-04-24,4924,CDAB,6,18,0054,0000
Dominical,2020-04-26,3252,BBCD,15,11,8741,6606
Intermedio,2020-04-29,2385,CACB,7,10,6263,1021
