Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Intermedio,19-05-2021,755,CBAA,21,4,4896,5439
Dominical,23-05-2021,2359,DDCB,20,13,8562,7547
Intermedio,26-05-2021,4762,DDDB,19,5,9292,3804
Dominical,30-05-2021,9574,ADCD,9,7,4364,1308
Dominical,25-04-2021,6255,BBAC,12,2,2656,5282
Intermedio,28-04-2021,4511,CBAB,13,5,3827,9195
Intermedio,3/2/2021,1769,BDDC,10,14,639,2784
Dominical,7/2/2021,9016,AAAC,4,8,6923,5506
Intermedio,10/2/2021,4123,CDCB,16,15,8750,806
Dominical,14-02-2021,4013,BDBC,19,9,1920,5472
Intermedio,17-02-2021,8989,CBBC,19,13,3961,3694
Dominical,21-02-2021,3918,CCAA,3,10,9331,3318
Intermedio,24-02-2021,1044,DDDD,7,14,9045,320
Intermedio,20-01-2021,1998,CBBD,14,4,2785,2950
Dominical,24-01-2021,5982,CDDB,13,1,5756,3194
Intermedio,27-01-2021,3520,ADDD,12,9,7804,263
Dominical,31-01-2021,686,BCDD,19,7,483,673
Intermedio,3/6/2020,2234,ACDB,3,8,2125,3419
Dominical,7/6/2020,2682,DBBC,3,9,1567,7655
Intermedio,10/6/2020,5561,ACBD,14,3,4572,3305
Dominical,14-06-2020,9211,BBAB,1,8,7457,1835
Zodiaco,26-06-2020,4019,BBCA,6,20,72,48
Dominical,3/5/2020,334,ABCA,14,8,7247,9378
Intermedio,6/5/2020,2783,AABB,16,9,2486,3197
Dominical,10/5/2020,2020,CCAC,24,11,513,1483
Intermedio,13-05-2020,795,ADCB,10,9,7096,1736
Dominical,17-05-2020,2436,CDAB,3,14,3981,6555
Intermedio,20-05-2020,9298,BBCB,22,12,5409,6289
Dominical,24-05-2020,866,CCAC,11,10,7986,5987
Intermedio,27-05-2020,7112,DBCD,12,5,3631,547
Zodiaco,29-05-2020,5028,DDCA,1,5,39,39
Dominical,31-05-2020,8056,DDBB,14,4,7356,5163
Intermedio,1/4/2020,2976,CBAA,5,7,4054,2036
Dominical,5/4/2020,8266,DCCA,22,4,3371,6408
Intermedio,8/4/2020,1297,ABBB,18,13,8635,2117
Dominical,12/4/2020,8462,DCCD,13,15,6057,5299
Intermedio,15-04-2020,2663,ABCA,2,10,1510,6306
Extraordinaria,19-04-2020,29579,DCCB,2,7,24297,91863
Intermedio,22-04-2020,4195,BDDD,21,6,4479,2480
Zodiaco,24-04-2020,4924,CDAB,6,18,54,0
Dominical,26-04-2020,3252,BBCD,15,11,8741,6606
Intermedio,29-04-2020,2385,CACB,7,10,6263,1021
Dominical,1/3/2020,7728,ABDB,6,12,143,4002
Intermedio,4/3/2020,4534,DACC,17,2,9357,6109
Dominical,8/3/2020,74,CBDD,10,13,9353,3126
Intermedio,11/3/2020,8433,CDAC,18,7,220,664
Dominical,15-03-2020,2431,DBBA,15,2,8005,7137
Intermedio,18-03-2020,9206,DBDA,6,8,5423,5590
Dominical,22-03-2020,1129,DABB,19,6,8303,3475
Intermedio,25-03-2020,5564,AACD,19,15,5038,9421
Zodiaco,27-03-2020,7606,BDCB,1,8,0,71
Dominical,29-03-2020,2875,DAAD,10,14,7928,9039
Dominical,2/2/2020,9722,DDBD,6,14,3513,9021
Intermedio,5/2/2020,7915,DDDA,2,5,1037,3068
Dominical,9/2/2020,6967,ADAC,15,4,8332,5352
Intermedio,12/2/2020,9118,DAAB,18,14,7100,634
Zodiaco,14-02-2020,9789,CCBD,9,14,63,26
Dominical,16-02-2020,7266,AACB,2,2,4272,589
Intermedio,19-02-2020,5134,ABBC,13,13,6622,1284
Dominical,22-02-2020,9331,DAAB,23,3,5533,525
Intermedio,27-02-2020,35,ADAD,9,3,6798,3639
Intermedio,2/1/2020,3462,DADA,16,15,8509,3767
Dominical,5/1/2020,2122,ADDB,9,8,8140,3389
Intermedio,8/1/2020,7909,CDBC,14,14,4349,563
Dominical,12/1/2020,3378,DBAD,25,15,533,7273
Intermedio,15-01-2020,6700,CBDA,10,2,7315,8868
Dominical,19-01-2020,6173,CDCA,4,2,6376,165
Intermedio,22-01-2020,3149,ABBD,3,11,8067,8501
Dominical,26-01-2020,7318,BCCC,10,4,8822,2552
Intermedio,29-01-2020,3084,CADA,21,9,8465,1723
Zodiaco,31-01-2020,7581,BBCB,1,11,56,49
Dominical,29-12-2019,635,BBCA,10,2,6894,4229
Intermedio,26-12-2019,5755,AACB,20,7,9932,6638
Dominical,22-12-2019,4397,BBAA,14,12,3798,4577
Zodiaco,20-12-2019,6080,DCCB,8,22,10,92
Intermedio,18-12-2019,3469,ADCC,5,2,7378,5221
Extraordinaria,15-12-2019,41435,BBAA,2,12,20035,49304
Intermedio,11/12/2019,1457,CCDC,21,5,4253,7920
